Account Campaign ID,Account ID,CAMPAIGNSFORMSID,CTOR,Leads Rate,Email Date,Open Rate,Program Account ID Filter,Delivery Rate,Partners Count,Click Rate,eDM#,Reject Rate,Delivered,Country,Custom ID,Email Days Interval,Email Name,Email Schedule,Email Series Indication,Email Sort Order,Email Subject,Email Type,Emails Clicked Count,Emails Opened Count,Emails Rejected Count,Emails Sent Count,Event Notification Type,LTCR,Leads Count (All),Leads Count (Forms Only),Managed Campaign ID,Number of Records,Nurture ID,Nurture Name,Opportunities Count,Opportunities Value,Partner Name,Program Name,Region,Unique Email ID,Unsubscribe Requests Count
1777165,55110,0,0.00%,0.00%,10-22-2017,100.00%,True,100.00%,1,0.00%,,0%,1,United States,,,Monthly Campaigns Team - Updates,10/22/2017 6:15:00 PM,,,An Update From the Global Partner Campaigns Team ,Single Email,0,1,0,1,,,0,0,1777162,1,,,0,0,Commvault Employee Account - Angela Barragan,Setup Content,Americas,1777165,0
1445681,39687,0,0.00%,0.00%,5-16-2016,50.00%,True,100.00%,1,0.00%,,0%,4,France,104404,,Trust the Backup Leader - FR,5/16/2016 8:45:00 AM,,,Trust the Backup Leader,Single Email,0,2,0,4,,,0,0,1245559,1,,,0,0,Net Streams,EMEA Partner Marketing,EMEA,1445681,0
1448437,39687,0,,0.00%,5-17-2016,0.00%,True,100.00%,1,0.00%,,0%,1,France,104404,,Trust the Backup Leader - FR,5/17/2016 1:00:00 PM,,,Trust the Backup Leader,Single Email,0,0,0,1,,,0,0,1245559,1,,,0,0,Net Streams,EMEA Partner Marketing,EMEA,1448437,0
1444362,39687,0,,0.00%,5-13-2016,0.00%,True,100.00%,1,0.00%,,0%,1,France,104404,,Trust the Backup Leader - FR,5/13/2016 7:30:00 AM,,,Trust the Backup Leader,Single Email,0,0,0,1,,,0,0,1245559,1,,,0,0,Net Streams,EMEA Partner Marketing,EMEA,1444362,0
1445615,39687,0,0.00%,0.00%,5-16-2016,50.00%,True,100.00%,1,0.00%,,0%,2,France,104404,,Trust the Backup Leader - FR,5/16/2016 6:30:00 AM,,,Trust the Backup Leader,Single Email,0,1,0,2,,,0,0,1245559,1,,,0,0,Net Streams,EMEA Partner Marketing,EMEA,1445615,0
1449390,39687,0,4.26%,0.00%,5-18-2016,14.60%,True,92.26%,1,0.62%,,8%,322,France,104404,,Trust the Backup Leader - FR,5/18/2016 10:30:00 AM,,,Trust the Backup Leader,Single Email,2,47,27,349,,0.00%,0,0,1245559,1,,,0,0,Net Streams,EMEA Partner Marketing,EMEA,1449390,0
1445613,39687,0,,0.00%,5-16-2016,0.00%,True,100.00%,1,0.00%,,0%,1,France,104404,,Trust the Backup Leader - FR,5/16/2016 7:15:00 AM,,,Trust the Backup Leader,Single Email,0,0,0,1,,,0,0,1245559,1,,,0,0,Net Streams,EMEA Partner Marketing,EMEA,1445613,0
1449651,39687,0,6.98%,0.00%,5-18-2016,13.44%,True,93.29%,1,0.94%,,7%,320,France,104404,,Trust the Backup Leader - FR,5/18/2016 12:30:00 PM,,,Trust the Backup Leader,Single Email,3,43,23,343,,0.00%,0,0,1245559,1,,,0,0,Net Streams,EMEA Partner Marketing,EMEA,1449651,2
1446412,39687,0,0.00%,0.00%,5-16-2016,75.00%,True,100.00%,1,0.00%,,0%,4,France,104404,,Trust the Backup Leader - FR,5/16/2016 10:00:00 AM,,,Trust the Backup Leader,Single Email,0,3,0,4,,,0,0,1245559,1,,,0,0,Net Streams,EMEA Partner Marketing,EMEA,1446412,0
1575680,48929,0,1.02%,0.00%,10-4-2016,13.39%,True,73.20%,1,0.14%,,27%,732,France,107336,,Modernize Your Backup and Recovery - FR,10/4/2016 3:15:00 PM,,,Modernize Your Backup and Recovery,Single Email,1,98,268,1000,,0.00%,0,0,1245562,1,,,0,0,FPS,EMEA Partner Marketing,EMEA,1575680,13
1366456,23454,0,,0.00%,2-23-2016,0.00%,True,100.00%,1,0.00%,,0%,1,South Africa,105386,,Go Beyond VM Backup,2/23/2016 7:00:00 AM,,,Go Beyond VM Backup,Single Email,0,0,0,1,,,0,0,1243486,1,,,0,0,First Technology,EMEA Partner Marketing,EMEA,1366456,0
1340970,23447,0,,0.00%,1-26-2016,0.00%,True,100.00%,1,0.00%,,0%,1,South Africa,109146,,Harness the Power of Array-Based Snapshots,1/26/2016 2:00:00 AM,,,Harness the Power of Array-Based Snapshots,Single Email,0,0,0,1,,,0,0,1243487,1,,,0,0,Datacentrix Ltd,EMEA Partner Marketing,EMEA,1340970,0
1340967,23447,0,,0.00%,1-26-2016,0.00%,True,100.00%,1,0.00%,,0%,1,South Africa,109146,,Harness the Power of Array-Based Snapshots,1/26/2016 2:30:00 AM,,,Harness the Power of Array-Based Snapshots,Single Email,0,0,0,1,,,0,0,1243487,1,,,0,0,Datacentrix Ltd,EMEA Partner Marketing,EMEA,1340967,0
1427882,39181,0,16.67%,0.00%,4-27-2016,6.32%,True,98.96%,1,1.05%,,1%,95,United Kingdom,104409,,Modernize Your Backup and Recovery,4/27/2016 8:15:00 AM,,,Modernize Your Backup and Recovery,Single Email,1,6,1,96,,0.00%,0,0,1243488,1,,,0,0,Fordway Solutions,EMEA Partner Marketing,EMEA,1427882,0
1377642,23440,0,66.67%,0.00%,3-3-2016,75.00%,True,100.00%,1,50.00%,,0%,4,United Kingdom,256915,,Modernize Your Backup and Recovery,3/3/2016 8:45:00 AM,,,Modernize Your Backup and Recovery,Single Email,2,3,0,4,,0.00%,2,0,1243488,1,,,0,0,CMS Distribution Ltd,EMEA Partner Marketing,EMEA,1377642,0
1443513,33969,0,0.00%,0.00%,5-12-2016,18.97%,True,96.67%,1,0.00%,,3%,58,South Africa,112469,,Modernize Your Backup and Recovery,5/12/2016 2:30:00 PM,,,Modernize Your Backup and Recovery,Single Email,0,11,2,60,,,0,0,1243488,1,,,0,0,DDP Consulting Pty Ltd,EMEA Partner Marketing,EMEA,1443513,0
1443511,33969,0,0.00%,0.00%,5-12-2016,9.72%,True,90.00%,1,0.00%,,10%,72,South Africa,112469,,Modernize Your Backup and Recovery,5/12/2016 1:30:00 PM,,,Modernize Your Backup and Recovery,Single Email,0,7,8,80,,,0,0,1243488,1,,,0,0,DDP Consulting Pty Ltd,EMEA Partner Marketing,EMEA,1443511,0
1443498,33969,0,0.00%,0.00%,5-12-2016,16.67%,True,97.50%,1,0.00%,,3%,78,South Africa,112469,,Modernize Your Backup and Recovery,5/12/2016 12:00:00 PM,,,Modernize Your Backup and Recovery,Single Email,0,13,2,80,,,0,0,1243488,1,,,0,0,DDP Consulting Pty Ltd,EMEA Partner Marketing,EMEA,1443498,0
1443512,33969,0,0.00%,0.00%,5-12-2016,16.67%,True,97.50%,1,0.00%,,3%,78,South Africa,112469,,Modernize Your Backup and Recovery,5/12/2016 2:00:00 PM,,,Modernize Your Backup and Recovery,Single Email,0,13,2,80,,,0,0,1243488,1,,,0,0,DDP Consulting Pty Ltd,EMEA Partner Marketing,EMEA,1443512,0
1443514,33969,0,0.00%,0.00%,5-12-2016,16.67%,True,94.74%,1,0.00%,,5%,72,South Africa,112469,,Modernize Your Backup and Recovery,5/12/2016 3:00:00 PM,,,Modernize Your Backup and Recovery,Single Email,0,12,4,76,,,0,0,1243488,1,,,0,0,DDP Consulting Pty Ltd,EMEA Partner Marketing,EMEA,1443514,2
1443510,33969,0,0.00%,0.00%,5-12-2016,17.95%,True,97.50%,1,0.00%,,3%,78,South Africa,112469,,Modernize Your Backup and Recovery,5/12/2016 1:00:00 PM,,,Modernize Your Backup and Recovery,Single Email,0,14,2,80,,,0,0,1243488,1,,,0,0,DDP Consulting Pty Ltd,EMEA Partner Marketing,EMEA,1443510,1
1443496,33969,0,6.67%,0.00%,5-12-2016,19.23%,True,97.50%,1,1.28%,,3%,78,South Africa,112469,,Modernize Your Backup and Recovery,5/12/2016 11:30:00 AM,,,Modernize Your Backup and Recovery,Single Email,1,15,2,80,,0.00%,0,0,1243488,1,,,0,0,DDP Consulting Pty Ltd,EMEA Partner Marketing,EMEA,1443496,0
1443493,33969,0,0.00%,0.00%,5-12-2016,7.79%,True,96.25%,1,0.00%,,4%,77,South Africa,112469,,Modernize Your Backup and Recovery,5/12/2016 11:00:00 AM,,,Modernize Your Backup and Recovery,Single Email,0,6,3,80,,,0,0,1243488,1,,,0,0,DDP Consulting Pty Ltd,EMEA Partner Marketing,EMEA,1443493,1
1443509,33969,0,0.00%,0.00%,5-12-2016,9.46%,True,92.50%,1,0.00%,,8%,74,South Africa,112469,,Modernize Your Backup and Recovery,5/12/2016 12:30:00 PM,,,Modernize Your Backup and Recovery,Single Email,0,7,6,80,,,0,0,1243488,1,,,0,0,DDP Consulting Pty Ltd,EMEA Partner Marketing,EMEA,1443509,0
1389480,33969,0,20.00%,0.00%,3-14-2016,15.15%,True,82.50%,1,3.03%,,18%,33,South Africa,112469,,Modernize Your Backup and Recovery,3/14/2016 11:00:00 AM,,,Modernize Your Backup and Recovery,Single Email,1,5,7,40,,0.00%,0,0,1243488,1,,,0,0,DDP Consulting Pty Ltd,EMEA Partner Marketing,EMEA,1389480,0
1389477,33969,0,16.67%,0.00%,3-14-2016,12.77%,True,87.04%,1,2.13%,,13%,47,South Africa,112469,,Modernize Your Backup and Recovery,3/14/2016 9:00:00 AM,,,Modernize Your Backup and Recovery,Single Email,1,6,7,54,,0.00%,0,0,1243488,1,,,0,0,DDP Consulting Pty Ltd,EMEA Partner Marketing,EMEA,1389477,1
1389474,33969,0,33.33%,0.00%,3-14-2016,16.67%,True,73.47%,1,5.56%,,27%,36,South Africa,112469,,Modernize Your Backup and Recovery,3/14/2016 7:00:00 AM,,,Modernize Your Backup and Recovery,Single Email,2,6,13,49,,0.00%,0,0,1243488,1,,,0,0,DDP Consulting Pty Ltd,EMEA Partner Marketing,EMEA,1389474,4
1389467,33969,0,66.67%,0.00%,3-14-2016,6.67%,True,90.00%,1,4.44%,,10%,45,South Africa,112469,,Modernize Your Backup and Recovery,3/14/2016 5:45:00 AM,,,Modernize Your Backup and Recovery,Single Email,2,3,5,50,,0.00%,0,0,1243488,1,,,0,0,DDP Consulting Pty Ltd,EMEA Partner Marketing,EMEA,1389467,1
1340971,23447,0,,0.00%,1-26-2016,0.00%,True,100.00%,1,0.00%,,0%,1,South Africa,109146,,Modernize Your Backup and Recovery,1/26/2016 2:00:00 AM,,,Modernize Your Backup and Recovery,Single Email,0,0,0,1,,,0,0,1243488,1,,,0,0,Datacentrix Ltd,EMEA Partner Marketing,EMEA,1340971,0
1419683,39181,0,0.00%,0.00%,4-19-2016,9.57%,True,90.38%,1,0.00%,,10%,94,United Kingdom,104409,,Transition Seamlessly to the Cloud,4/19/2016 11:15:00 AM,,,Transition Seamlessly to the Cloud,Single Email,0,9,10,104,,,0,0,1243492,1,,,0,0,Fordway Solutions,EMEA Partner Marketing,EMEA,1419683,0
1583206,48347,0,100.00%,0.00%,10-10-2016,50.00%,True,100.00%,1,50.00%,,0%,2,Austria,,,Go Beyond VM Backup - DE,10/10/2016 9:00:00 AM,,,Go Beyond VM Backup,Single Email,1,1,0,2,,0.00%,0,0,1244243,1,,,0,0,Arrows ECS Internet Security AG,EMEA Partner Marketing,EMEA,1583206,1
1508391,45921,0,50.00%,0.00%,7-7-2016,66.67%,True,100.00%,1,33.33%,,0%,3,Netherlands,,,Trust the Backup Leader,7/7/2016 5:45:00 AM,,,Trust the Backup Leader,Single Email,1,2,0,3,,0.00%,0,0,1243493,1,,,0,0,Arrows ECS Netherlands,EMEA Partner Marketing,EMEA,1508391,0
1443576,33969,0,0.00%,0.00%,5-18-2016,9.03%,True,89.44%,1,0.00%,,11%,144,South Africa,112469,,Trust the Backup Leader,5/18/2016 11:00:00 AM,,,Trust the Backup Leader,Single Email,0,13,17,161,,,0,0,1243493,1,,,0,0,DDP Consulting Pty Ltd,EMEA Partner Marketing,EMEA,1443576,2
1340968,23447,0,,0.00%,1-26-2016,0.00%,True,100.00%,1,0.00%,,0%,1,South Africa,109146,,Trust the Backup Leader,1/26/2016 2:00:00 AM,,,Trust the Backup Leader,Single Email,0,0,0,1,,,0,0,1243493,1,,,0,0,Datacentrix Ltd,EMEA Partner Marketing,EMEA,1340968,0
1391689,23522,0,7.53%,0.00%,3-15-2016,21.13%,True,86.16%,1,1.59%,,14%,691,United Arab Emirates,105151,,Prospect Email - EN,3/15/2016 6:00:00 AM,,,WHO SAYS WE'RE A LEADER? GARTNER DOES!,Single Email,11,146,111,802,,0.00%,0,0,1265847,1,,,0,0,TechAccess,EMEA Partner Marketing,EMEA,1391689,9
1391675,23522,0,0.00%,0.00%,3-15-2016,66.67%,True,100.00%,1,0.00%,,0%,3,United Arab Emirates,105151,,Prospect Email - EN,3/15/2016 4:00:00 AM,,,WHO SAYS WE'RE A LEADER? GARTNER DOES!,Single Email,0,2,0,3,,,0,0,1265847,1,,,0,0,TechAccess,EMEA Partner Marketing,EMEA,1391675,0
1478154,45921,0,1.52%,0.00%,7-12-2016,26.13%,True,95.81%,1,0.40%,,4%,754,Netherlands,,,Why Become a Commvault Value Added Reseller,7/12/2016 7:00:00 AM,,,Why Become a Commvault Value Added Reseller,Single Email,3,197,33,787,,0.00%,0,0,1285532,1,,,0,0,Arrows ECS Netherlands,EMEA Partner Marketing,EMEA,1478154,19
1387229,34116,0,18.92%,0.00%,3-14-2016,11.28%,True,94.80%,1,2.13%,,5%,328,United Kingdom,104300,,Your VM Backup Solution May   Cost More Than You Think!,3/14/2016 4:30:00 AM,,,Your VM Backup Solution May   Cost More Than You Think!,Single Email,7,37,18,346,,0.00%,0,0,1323490,1,,,0,0,Proact IT UK,EMEA Partner Marketing,EMEA,1387229,1
1381103,34232,0,0.00%,0.00%,4-29-2016,13.40%,True,90.65%,1,0.00%,,9%,97,United Kingdom,125037,,Your VM Backup Solution May   Cost More Than You Think!,4/29/2016 8:00:00 AM,,,Your VM Backup Solution May   Cost More Than You Think!,Single Email,0,13,10,107,,,0,0,1323490,1,,,0,0,Solutions-Services & Associates,EMEA Partner Marketing,EMEA,1381103,0
1622368,23522,0,,,12-26-2016,,True,0.00%,1,,,100%,0,United Arab Emirates,105151,,Your VM Backup Solution May   Cost More Than You Think!,12/26/2016 5:30:00 AM,,,Your VM Backup Solution May   Cost More Than You Think!,Single Email,0,0,1,1,,,0,0,1323490,1,,,0,0,TechAccess,EMEA Partner Marketing,EMEA,1622368,0
1405044,23454,0,0.00%,0.00%,3-31-2016,100.00%,True,100.00%,1,0.00%,,0%,1,South Africa,105386,,Commvault's VM Archiving helps you reclaim resources for redeployment.,3/31/2016 4:15:00 AM,,,Zombie VMs are Sucking the   Life Out of Your Data Center -   Reclaim Wasted Resources NOW! ,Single Email,0,1,0,1,,,0,0,1323492,1,,,0,0,First Technology,EMEA Partner Marketing,EMEA,1405044,0
1405042,23454,0,100.00%,66.67%,4-5-2016,16.67%,True,100.00%,1,16.67%,,0%,6,South Africa,105386,,Commvault's VM Archiving helps you reclaim resources for redeployment.,4/5/2016 7:00:00 AM,,,Zombie VMs are Sucking the   Life Out of Your Data Center -   Reclaim Wasted Resources NOW! ,Single Email,1,1,0,6,,400.00%,4,4,1323492,1,,,0,0,First Technology,EMEA Partner Marketing,EMEA,1405042,0
1365310,34116,0,10.87%,0.00%,2-23-2016,13.94%,True,82.29%,1,1.52%,,18%,330,United Kingdom,104300,,Commvault's VM Archiving helps you reclaim resources for redeployment.,2/23/2016 4:15:00 AM,,,Zombie VMs are Sucking the   Life Out of Your Data Center -   Reclaim Wasted Resources NOW! ,Single Email,5,46,71,401,,0.00%,0,0,1323492,1,,,0,0,Proact IT UK,EMEA Partner Marketing,EMEA,1365310,8
1341006,23447,0,0.00%,0.00%,1-26-2016,100.00%,True,100.00%,1,0.00%,,0%,1,South Africa,109146,,Commvault's VM Archiving helps you reclaim resources for redeployment.,1/26/2016 6:30:00 AM,,,Zombie VMs are Sucking the   Life Out of Your Data Center -   Reclaim Wasted Resources NOW! ,Single Email,0,1,0,1,,,0,0,1323492,1,,,0,0,Datacentrix Ltd,EMEA Partner Marketing,EMEA,1341006,0
1340978,23447,0,,,1-26-2016,,True,0.00%,1,,,100%,0,South Africa,109146,,Commvault's VM Archiving helps you reclaim resources for redeployment.,1/26/2016 3:00:00 AM,,,Zombie VMs are Sucking the   Life Out of Your Data Center -   Reclaim Wasted Resources NOW! ,Single Email,0,0,1,1,,,0,0,1323492,1,,,0,0,Datacentrix Ltd,EMEA Partner Marketing,EMEA,1340978,0
1371533,34116,0,0.00%,0.00%,3-7-2016,10.06%,True,92.13%,1,0.00%,,8%,328,United Kingdom,104300,,The dangers of 'check box' dedupe!.,3/7/2016 4:15:00 AM,,,The dangers of 'check box' dedupe!.,Single Email,0,33,28,356,,,0,0,1323493,1,,,0,0,Proact IT UK,EMEA Partner Marketing,EMEA,1371533,4
1340980,23447,0,,0.00%,1-26-2016,0.00%,True,100.00%,1,0.00%,,0%,1,South Africa,109146,,The dangers of 'check box' dedupe!.,1/26/2016 2:30:00 AM,,,The dangers of 'check box' dedupe!.,Single Email,0,0,0,1,,,0,0,1323493,1,,,0,0,Datacentrix Ltd,EMEA Partner Marketing,EMEA,1340980,0
1371395,34116,0,23.68%,0.00%,2-29-2016,11.34%,True,93.58%,1,2.69%,,6%,335,United Kingdom,104300,,Trial Download: VM Backup & Recovery.,2/29/2016 4:30:00 AM,,,Take our free 30-day free trial and discover how Commvault can backup and recover your virtual machi,Single Email,9,38,23,358,,0.00%,0,0,1323494,1,,,0,0,Proact IT UK,EMEA Partner Marketing,EMEA,1371395,4
1395568,34116,0,26.32%,0.00%,3-21-2016,11.62%,True,94.78%,1,3.06%,,5%,327,United Kingdom,104300,,Trial Download: VM Backup & Recovery.,3/21/2016 4:45:00 AM,,,Take our free 30-day free trial and discover how Commvault can backup and recover your virtual machi,Single Email,10,38,18,345,,0.00%,0,0,1323494,1,,,0,0,Proact IT UK,EMEA Partner Marketing,EMEA,1395568,4
1783517,54155,0,3.48%,0.00%,11-2-2017,6.44%,True,88.57%,1,0.22%,,11%,5357,United States,,,Email 2. Service Provider Email - Learn about the Commvault Service Provider Proposition (Revised),11/2/2017 11:30:00 AM,,,3 Reasons Why You Should Become A Commvault Service Provider ,Single Email,12,345,691,6048,,0.00%,0,0,1781320,1,,,0,0,Commvault Employee Account - Mark Newberry,AMS CVLT Field,Americas,1783517,24
1602403,23440,0,3.70%,0.00%,11-16-2016,20.93%,True,96.63%,1,0.78%,,3%,258,United Kingdom,256915,,Transition Seamlessly to the Cloud,11/16/2016 5:00:00 PM,,,Transition Seamlessly to the Cloud,Single Email,2,54,9,267,,0.00%,0,0,1494041,1,,,0,0,CMS Distribution Ltd,Global Partner Marketing,EMEA,1602403,0
1641954,51262,0,13.04%,0.00%,2-23-2017,23.71%,True,85.84%,1,3.09%,,14%,97,Mexico,105917,,Go Beyond VM Backup,2/23/2017 2:00:00 PM,,,Go Beyond VM Backup,Single Email,3,23,16,113,,0.00%,0,0,1492791,1,,,0,0,MSR Consulting Consultores de Tecnologia SA de CV,Global Partner Marketing,Americas,1641954,0
1628292,47297,0,0.00%,0.00%,1-17-2017,100.00%,True,100.00%,1,0.00%,,0%,1,United States,104311,,Go Beyond VM Backup,1/17/2017 5:00:00 PM,,,Go Beyond VM Backup,Single Email,0,1,0,1,,,0,0,1492791,1,,,0,0,Eagle Technologies,Global Partner Marketing,Americas,1628292,0
1638331,51282,0,3.70%,0.00%,2-13-2017,28.27%,True,95.98%,1,1.05%,,4%,191,United States,,,Go Beyond VM Backup,2/13/2017 6:00:00 AM,,,Go Beyond VM Backup,Single Email,2,54,8,199,,0.00%,0,0,1492791,1,,,0,0,Commvault employee account-Jim Prekker,Global Partner Marketing,Americas,1638331,0
1627156,49401,0,100.00%,0.00%,1-13-2017,100.00%,True,100.00%,1,100.00%,,0%,1,United States,123526,,Go Beyond VM Backup,1/13/2017 12:30:00 PM,,,Go Beyond VM Backup,Single Email,1,1,0,1,,0.00%,0,0,1492791,1,,,0,0,"Compugen, Inc.",Global Partner Marketing,Americas,1627156,0
1635501,51262,0,18.75%,0.00%,2-13-2017,29.09%,True,96.49%,1,5.45%,,4%,55,Mexico,105917,,Go Beyond VM Backup,2/13/2017 1:00:00 PM,,,Go Beyond VM Backup,Single Email,3,16,2,57,,0.00%,0,0,1492791,1,,,0,0,MSR Consulting Consultores de Tecnologia SA de CV,Global Partner Marketing,Americas,1635501,1
1646142,51262,0,6.90%,0.00%,3-8-2017,24.79%,True,95.12%,1,1.71%,,5%,117,Mexico,105917,,Harness the Power of Array-Based Snapshots,3/8/2017 10:00:00 AM,,,Harness the Power of Array-Based Snapshots,Single Email,2,29,6,123,,0.00%,0,0,1492828,1,,,0,0,MSR Consulting Consultores de Tecnologia SA de CV,Global Partner Marketing,Americas,1646142,1
1633040,51262,0,42.86%,0.00%,1-31-2017,19.44%,True,94.74%,1,8.33%,,5%,36,Mexico,105917,,Trust the Backup Leader,1/31/2017 10:00:00 AM,,,Trust the Backup Leader,Single Email,3,7,2,38,,0.00%,0,0,1494702,1,,,0,0,MSR Consulting Consultores de Tecnologia SA de CV,Global Partner Marketing,Americas,1633040,0
1633361,51262,0,50.00%,0.00%,1-31-2017,20.00%,True,90.91%,1,10.00%,,9%,10,Mexico,105917,,Trust the Backup Leader,1/31/2017 2:00:00 PM,,,Trust the Backup Leader,Single Email,1,2,1,11,,0.00%,0,0,1494702,1,,,0,0,MSR Consulting Consultores de Tecnologia SA de CV,Global Partner Marketing,Americas,1633361,0
1918371,54520,0,0.00%,0.00%,6-13-2018,16.67%,True,92.31%,1,0.00%,,8%,12,India,133897,,Commvault - Microsoft - Email 3 - VM Backup & Lifecycle Management (Hyper-V),6/13/2018 12:30:00 AM,,,"Optimize how you manage, protect and recover your VMs",Single Email,0,2,1,13,,,0,0,1541756,1,,,0,0,Wizertech Informatics Pvt Ltd,APAC Partner Marketing,APAC,1918371,0
1795765,56745,0,,0.00%,11-20-2017,0.00%,True,47.06%,1,0.00%,,53%,24,India,107268,,Commvault - Microsoft - Email 3 - VM Backup & Lifecycle Management (Hyper-V),11/20/2017 10:30:00 AM,,,"Optimize how you manage, protect and recover your VMs",Single Email,0,0,27,51,,,0,0,1541756,1,,,0,0,Accenture Services Private Limited,Global Partner Marketing,APAC,1795765,1
1685666,34232,0,0.00%,0.00%,5-4-2017,9.50%,True,99.01%,1,0.00%,,1%,200,United Kingdom,125037,,Commvault - Microsoft - Email 3 - VM Backup & Lifecycle Management (Hyper-V),5/4/2017 6:00:00 AM,,,"Optimize how you manage, protect and recover your VMs",Single Email,0,19,2,202,,,0,0,1541756,1,,,0,0,Solutions-Services & Associates,EMEA Partner Marketing,EMEA,1685666,0
1860742,57698,0,,0.00%,3-16-2018,0.00%,True,100.00%,1,0.00%,,0%,1,India,124366,,Commvault - Microsoft - Email 1 - Azure Public Cloud ,3/16/2018 12:45:00 PM,,,Move to the cloud with confidence,Single Email,0,0,0,1,,,0,0,1541743,1,,,0,0,ThoughtSol Infotech Pvt Ltd,Global Partner Marketing,APAC,1860742,0
1685652,34232,0,0.00%,0.00%,4-21-2017,7.80%,True,85.77%,1,0.00%,,14%,205,United Kingdom,125037,,Commvault - Microsoft - Email 1 - Azure Public Cloud ,4/21/2017 7:00:00 AM,,,Move to the cloud with confidence,Single Email,0,16,34,239,,,0,0,1541743,1,,,0,0,Solutions-Services & Associates,EMEA Partner Marketing,EMEA,1685652,2
1670141,52662,0,25.00%,0.00%,4-12-2017,12.12%,True,89.19%,1,3.03%,,11%,33,Nigeria,204964,,Commvault - Microsoft - Email 1 - Azure Public Cloud ,4/12/2017 4:00:00 AM,,,Move to the cloud with confidence,Single Email,1,4,4,37,,0.00%,0,0,1541743,1,,,0,0,ITANDT Solutions Ltd,Global Partner Marketing,EMEA,1670141,0
1806608,53025,0,0.00%,0.00%,12-9-2017,100.00%,True,100.00%,1,0.00%,,0%,1,Egypt,294485,,Commvault - Microsoft - Email 2 - Microsoft Enterprise Applications ,12/9/2017 2:45:00 PM,,,Simplify and enhance how you protect and manage Microsoft applications and data,Single Email,0,1,0,1,,,0,0,1541750,1,,,0,0,Integrated Printing Solutions,EMEA Partner Marketing,EMEA,1806608,0
1685658,34232,0,0.00%,0.00%,4-27-2017,10.61%,True,95.19%,1,0.00%,,5%,198,United Kingdom,125037,,Commvault - Microsoft - Email 2 - Microsoft Enterprise Applications ,4/27/2017 6:00:00 AM,,,Simplify and enhance how you protect and manage Microsoft applications and data,Single Email,0,21,10,208,,,0,0,1541750,1,,,0,0,Solutions-Services & Associates,EMEA Partner Marketing,EMEA,1685658,0
1897812,55702,0,,0.00%,5-10-2018,0.00%,True,57.14%,1,0.00%,,43%,8,United States,105839,,"Commvault - Cisco - Email 1 - Discover peace of mind for data management, backup and recovery",5/10/2018 12:30:00 PM,,,"Discover peace of mind for data management, backup and recovery",Single Email,0,0,6,14,,,0,0,1550673,1,,,0,0,High Availability Inc.,Global Partner Marketing,Americas,1897812,0
1863227,55702,0,0.00%,0.00%,3-21-2018,50.00%,True,100.00%,1,0.00%,,0%,8,United States,105839,,"Commvault - Cisco - Email 1 - Discover peace of mind for data management, backup and recovery",3/21/2018 11:30:00 AM,,,"Discover peace of mind for data management, backup and recovery",Single Email,0,4,0,8,,,0,0,1550673,1,,,0,0,High Availability Inc.,Global Partner Marketing,Americas,1863227,0
1930871,55722,0,0.00%,0.00%,7-9-2018,4.51%,True,60.09%,1,0.00%,,40%,7521,Brazil,523618,,"Commvault - Cisco - Email 2 - Discover a simple, elegant data protection solution for your whole data center",7/9/2018 11:00:00 AM,,,"A simple, elegant data protection solution for your whole data center is yours for the taking",Single Email,0,339,4995,12516,,,0,0,1550679,1,,,0,0,Netconsulting Informatica Prestacao de Servicos Ltda,AMS Partner Marketing,Americas,1930871,13
1897818,55702,0,0.00%,0.00%,5-24-2018,7.14%,True,100.00%,1,0.00%,,0%,14,United States,105839,,"Commvault - Cisco - Email 2 - Discover a simple, elegant data protection solution for your whole data center",5/24/2018 11:00:00 AM,,,"A simple, elegant data protection solution for your whole data center is yours for the taking",Single Email,0,1,0,14,,,0,0,1550679,1,,,0,0,High Availability Inc.,Global Partner Marketing,Americas,1897818,0
1863221,55702,0,0.00%,0.00%,3-28-2018,50.00%,True,100.00%,1,0.00%,,0%,8,United States,105839,,"Commvault - Cisco - Email 2 - Discover a simple, elegant data protection solution for your whole data center",3/28/2018 11:30:00 AM,,,"A simple, elegant data protection solution for your whole data center is yours for the taking",Single Email,0,4,0,8,,,0,0,1550679,1,,,0,0,High Availability Inc.,Global Partner Marketing,Americas,1863221,0
1930879,55722,0,0.00%,0.00%,7-16-2018,5.47%,True,69.92%,1,0.00%,,30%,7500,Brazil,523618,,Commvault - Cisco - Email 3 - Data is your strategic asset. Be confident you can use it,7/16/2018 11:00:00 AM,,,Data is your strategic asset. Be confident you can use it,Single Email,0,410,3226,10726,,,0,0,1550703,1,,,0,0,Netconsulting Informatica Prestacao de Servicos Ltda,AMS Partner Marketing,Americas,1930879,8
1897824,55702,0,,0.00%,6-7-2018,0.00%,True,100.00%,1,0.00%,,0%,14,United States,105839,,Commvault - Cisco - Email 3 - Data is your strategic asset. Be confident you can use it,6/7/2018 11:00:00 AM,,,Data is your strategic asset. Be confident you can use it,Single Email,0,0,0,14,,,0,0,1550703,1,,,0,0,High Availability Inc.,Global Partner Marketing,Americas,1897824,0
1667557,51262,0,0.00%,0.00%,3-30-2017,35.48%,True,100.00%,1,0.00%,,0%,31,Mexico,105917,,Commvault - Pure Storage - Email 2,3/30/2017 2:00:00 PM,,,Reduce complexity and cost with Commvault and Pure Storage,Single Email,0,11,0,31,,,0,0,1578557,1,,,0,0,MSR Consulting Consultores de Tecnologia SA de CV,Global Partner Marketing,Americas,1667557,0
